tmdb_id,imdb_id,original_language,original_title,genre_id,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,providers,iso_country,country_name,budget,revenue,runtime
354379,tt3583688,en,Tashi and the Monk,"['TV Movie', 'Science Fiction', 'Action', 'Horror']",17/08/2015,False,False,1.828,7.9,12,7.9,465,['Amazon Prime Video'],IN,India,0,0,39
261392,tt3316948,en,American Ultra,['Comedy'],19/08/2015,False,False,21.553,6.1,2505,6.1,92740,['Stan'],CH,Switzerland,28000000,27139524,96
341051,tt2914740,en,Deep Dark,['Documentary'],21/08/2015,False,False,4.599,5.1,75,5.0,2520,['Amazon Prime Video'],US,United States of America,0,0,79
339669,tt3700456,en,Blinky Bill the Movie,"['Horror', 'Documentary', 'Drama']",21/08/2015,False,False,7.606,5.5,34,5.1,834,"['Netflix', 'Stan']",AU,Australia,12796917,0,93
353595,tt4938416,en,LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!,['Comedy'],25/08/2015,False,False,15.086,7.0,100,6.2,1701,['Stan'],US,United States of America,0,0,77
301351,tt3787590,en,We Are Your Friends,['Documentary'],26/08/2015,False,False,22.487,6.7,2088,6.1,39228,['Stan'],FR,France,6000000,11122090,96
192141,tt1781922,en,No Escape,"['Fantasy', 'Horror']",26/08/2015,False,False,35.527,6.9,2221,6.7,87321,['Stan'],US,United States of America,5000000,54418872,103
337960,tt3671542,en,Holding the Man,"['Romance', 'TV Movie']",27/08/2015,False,False,11.581,7.8,417,7.4,12731,"['Netflix', 'Stan']",AU,Australia,0,0,128
347761,tt3833474,en,Never Let Go,['Thriller'],28/08/2015,False,False,8.446,5.7,38,5.3,913,['Amazon Prime Video'],MA,Morocco,0,0,93
321751,tt3577624,en,A Perfect Day,['Comedy'],28/08/2015,False,False,10.452,6.7,558,6.8,22587,['Stan'],ES,Spain,0,1702433,106
398438,tt4364882,en,Letter Never Sent,['Documentary'],29/08/2015,False,False,3.703,6.2,22,6.3,600,['Amazon Prime Video'],US,United States of America,1600000,0,88
337029,tt4086032,en,Frankenstein,"['Documentary', 'Music']",29/08/2015,False,False,7.344,5.6,89,5.1,2856,['Amazon Prime Video'],DE,Germany,0,0,89
347754,tt3212904,en,Curve,"['Drama', 'History']",31/08/2015,False,False,24.1,5.9,342,5.5,9165,['Netflix'],US,United States of America,0,0,86
